,question,answer,domain
566,What is (are) millrace?,"Also millrun, lade, leat, flume, or penstock. The current of flowing water that turns a water wheel, or the channel or sluice that carries this water. A millrace is usually a man-made conduit or ditch that delivers a narrow, rapid, and powerful stream from a reservoir such as a mill pond or diverts it from a natural watercourse such as a river, with the force generated by the flow used to power a turbine or mill. The part of the millrace that is upstream of the water wheel is called the headrace, while the part downstream of the wheel is the tailrace.",environmental science
567,What is (are) minimum tillage?,"A type of conservation tillage designed to conserve soil quality by minimizing the amount of soil manipulation necessary for successful crop production, typically by completely avoiding primary tillage and practicing only minimal secondary tillage.",environmental science
568,What is (are) minor crop?,"A crop plant that is high in value but is not widely grown. Many fruits, vegetables, and tree nuts may be considered minor crops.",environmental science
569,What is (are) mixed farming?,"The simultaneous cultivation of crops and raising of livestock for meat, eggs, or milk on the same farm, especially on the same or adjacent lands, and often reusing or recycling the products of one operation to supply the other, e.g. by using some part of the crop harvest for animal fodder, or by using animal manure as a crop fertilizer.",environmental science
570,What is (are) monocropping?,"Also continuous cropping. The practice of cultivating a single crop species repeatedly on the same land for many consecutive growing seasons. Monocropping allows farmers to optimize their time and labor by applying the same inputs, growing methods, machinery, pest controls, etc. to the same crop in the same spaces year after year, but also forgoes the potential benefits of natural diversity and may eventually prove unsustainable by exhausting soil nutrients and requiring increasingly large inputs to compensate.",environmental science
571,What is (are) monoculture?,"The practice of growing or raising a single crop or livestock species, variety, or breed on a particular area of land at a time. Contrast polyculture.",environmental science
572,What is (are) mote?,"Waste material from the cotton ginning process, primarily from lint cleaning.",environmental science
573,What is (are) mouthing?,"The process of inspecting an animal's teeth to determine its age, as is commonly done with sheep and horses.",environmental science
574,What is (are) mulch?,"Any layer of material applied to the surface of soil for the purpose of conserving soil moisture, improving soil health and fertility, reducing weed growth, and/or enhancing the soil's aesthetic appeal. Mulches are usually organic in nature (e.g. bark chips, manure, and compost) though plastic sheeting and other types of artificial mulch are also common.",environmental science
575,What is (are) mule?,A domestic hybrid equine that is the offspring of a female horse and a male donkey; i.e. the reciprocal cross to the hinny.,environmental science
576,What is (are) muley?,A polled cow.,environmental science
577,What is (are) naps?,"Large, tangled masses of cotton fibers present in ginned cotton, often a consequence of ginning cotton which has not dried sufficiently. Compare neps.",environmental science
578,What is (are) neps?,"Very small, snarled or knotted clusters of cotton fibers present in ginned cotton which are difficult to detect, looking like dots or specks in the lint, and equally difficult to remove. Neps are generally a more serious concern than naps because if not detected they will appear as defects in the finished yarn or fabric.",environmental science
579,What is (are) net farm income?,"The return, both monetary and non-monetary, to farm operators for their labor, management, and capital, after all production expenses have been paid; i.e. gross farm income minus production expenses. It includes net income from sales of the farm's agricultural products as well as net income attributed to the rental value of farm dwellings, the value of any commodities consumed on the farm, depreciation, and inventory changes. The term is used primarily in United States agricultural policy.",environmental science
580,What is (are) neutering?,"Also fixing. The surgical removal of all or most of the reproductive organ(s) of an animal, male or female, usually with the goal of irreversibly sterilizing the animal by eliminating sex organs which are essential to its ability to reproduce. In the broadest sense the term may also encompass non-surgical methods of sterilization such as those that employ pharmaceutical drugs, which may or may not be reversible. The male-specific term for neutering is castration and the female-specific term is spaying, though colloquially ""neutering"" may be used interchangeably with both. An animal that has not been neutered is said to be intact or entire.",environmental science
581,What is (are) non-program crop?,Any agricultural crop or commodity not covered by a federally funded commodity program. Contrast program crop.,environmental science
582,What is (are) northern vigor?,"The phenomenon by which certain varieties of plants adapted to high-latitude climates produce hardier, better-tasting, or higher-yield crops when grown in lower-latitude climates. The effect has been observed in many types of produce grown in the northern United States and Canada, including potatoes, strawberries, and garlic.",environmental science
583,What is (are) noxious weed?,"A weed or other undesirable plant that is not merely a nuisance but actually harmful to cultivated crops or other useful plants (by acting as a parasitic plant, strongly outcompeting other plants, or releasing allelopathic chemicals into the soil) or to humans or domestic animals such as livestock (by poisoning or causing other injury). Many places specify which weeds are noxious and require land users to take steps to control these species.",environmental science
584,What is (are) nurse cow?,A cow which is milked in order to supply milk to nursing calves other than her own.,environmental science
585,What is (are) oast?,Also oast house or hop kiln. A building designed for kilning or drying harvested hops for use in the brewing of beer.,environmental science
586,What is (are) olericulture?,"The cultivation of vegetables (i.e. non-woody herbaceous plants) for food, or the science that studies the growing of these plants as edible produce.",environmental science
587,What is (are) once-over tillage?,An operation in which a field is tilled and planted simultaneously or in quick succession.,environmental science
588,What is (are) on-the-hoof?,(of livestock) Sold live for slaughter.,environmental science
589,What is (are) open?,(of livestock) Fertile but not yet pregnant; able to be impregnated.,environmental science
590,What is (are) open range?,"A type of rangeland on which livestock, particularly cattle, roam freely regardless of land ownership and without being enclosed by fences. Where open range is prescribed by law, the land owner (and not the animal owner) is responsible for erecting exclosure fences to keep animals off of private or public property.",environmental science
591,What is (are) orchard?,"Any intentional planting of trees or shrubs that is maintained for food production. Most orchards are planted with a single variety of fruit- or nut-producing tree, and are often laid out in a regular grid with wide spacing and grazed or mown grass or bare soil between individual trees to make maintenance and harvesting easy.",environmental science
592,What is (are) orchardry?,"The cultivation of trees or shrubs in an orchard, with the goal of producing any a variety of products that can be used by humans, especially foods.",environmental science
593,What is (are) organic farming?,"Also organic agriculture, biological farming, or ecological farming. An agricultural production system which excludes or eschews the use of synthetic chemical compounds (particularly fertilizers, pesticides, and herbicides for plant crops, and growth hormones, antibiotics, and synthetic feed additives for livestock production), instead emphasizing alternative, organic strategies for solving the problems of agriculture, including crop rotation, companion planting and polyculture, permaculture, natural fertilizers such as manure and field residues, beneficial microbes, trap crops, biological pest controls, etc. Organic production usually prohibits the use of genetically modified organisms and sometimes mechanized farm equipment as well. In many places the label ""organic"" has a specific legal meaning and its use may require certification, whereby certified organic farms must adhere to national organic production standards. Many organic methods are also core elements of sustainable agriculture.",environmental science
594,What is (are) organic fertilizer?,"Also natural fertilizer. Any fertilizer made from non-synthetic, naturally occurring substances, often compost or plant and animal products such as crop residues or manure. This is in contrast to many large-scale commercial fertilizers which contain synthetic chemical compounds. Use of organic fertilizers is widely practiced in organic agriculture.",environmental science
595,What is (are) outbuilding?,"Any building that is part of an agricultural or residential complex but is detached or distant from other structures, especially one dedicated to some practical purpose and isolated by necessity or convenience on a remote part of a large property. Common agricultural outbuildings include barns, stables, cellars, silos, granaries, sheds, and housing for farm laborers.",environmental science
596,What is (are) outfarm?,"A cluster of outbuildings located near outlying fields or pastures which are distant or isolated from a primary farmstead, providing facilities for agricultural operations in remote areas of a very large farm or ranch.",environmental science
597,What is (are) out-wintering?,"The practice of keeping livestock (especially cattle) outdoors on pastureland during the winter, leaving them to fend for themselves for protection from the elements, rather than housing them in an indoor shelter.",environmental science
598,What is (are) overcropping?,"The practice of growing too many crops on the same land in the same growing season, which may reduce yield for any of a variety of reasons, usually because soil fertility is insufficient to support multiple cropping or repeated growing cycles without periodic fallowing.",environmental science
599,What is (are) packinghouse?,A building in which harvested agricultural produce (e.g. fruits and vegetables) is packaged for sale prior to distribution to market. Other forms of postharvest processing such as cleaning may also take place in the same facility.,environmental science
600,What is (are) paddy farming?,"A form of wet-field agriculture in which semiaquatic plants such as rice and taro are grown in soils inundated in a shallow pool of water, generally 10–15 centimetres (3.9–5.9 in) in depth, for most or all of the growing cycle. Most plants cannot survive in these conditions, but rice is specially adapted to supply oxygen to its lower parts even when fully submersed in water. Paddy fields involve huge quantities of water and so are most commonly found in wetlands in humid climates such as in many parts of East Asia. It remains the dominant method of rice farming in modern times. Rice paddies",environmental science
601,What is (are) paddy field?,Also simply paddy. A flooded field of arable land used for growing semiaquatic crops such as rice and taro.,environmental science
602,What is (are) pannage?,"The practice of releasing livestock, especially pigs, into a wild forest so that they can feed on fallen mast such as acorns, beechnuts, and chestnuts.",environmental science
603,What is (are) pasteurization?,"The practice of applying moderate heat to milk and other heat-sensitive liquids in order to reduce the native microbial load. Pasteurization uses temperatures which are much lower than in conventional sterilization techniques but still high enough to deactivate or denature the proteins and other molecules used by bacteria and other microorganisms, usually not killing them outright but significantly slowing their growth and reproduction, thereby delaying the inevitable onset of spoilage and extending the product's shelf-life.",environmental science
604,What is (are) pastoral farming?,"Also livestock farming or grazing. A sedentary form of pastoralism in which livestock are raised on the same pastureland for most or all of their lives, rather than continuously being moved as in traditional nomadic pastoralism. Pastoral farmers typically have some form of ownership of the land they use, giving them an economic incentive to improve the land to meet the needs of their animals (e.g. by irrigation).",environmental science
605,What is (are) pastoralism?,"A type of animal husbandry in which herds of domestic animals are released onto large areas of vegetated outdoor land, known as pastures, for grazing, traditionally by fully or partially nomadic peoples who move around with their herds, and generally in places where environmental conditions such as aridity, poor soils, and extreme temperatures make growing crops difficult or impossible.",environmental science
606,What is (are) pasture?,"Any land used for grazing, especially enclosed tracts of farmland grazed by domesticated livestock such as horses, cattle, sheep, or swine. Pasture vegetation mainly consists of grasses and forbs and is typically grazed throughout the summer. Pasture is often distinguished from, but may in the broadest sense include, other agricultural land types such as meadows, rangelands, or other unenclosed pastoral areas.",environmental science
607,What is (are) pastureland?,A type of agricultural land used as pasture for grazing animals.,environmental science
608,What is (are) pegging?,A developmental stage of the peanut plant in which a fertilized flower produces an elongated ovary which enters the soil and develops underground into a pod and eventually a peanut.,environmental science
609,What is (are) pellet mill?,"Also pellet press. A type of mill or machine press used to compress and mold bulk quantities of powdered or fine-grained material into compact, high-density, homogeneous units called pellets, which are often much easier to store, transport, and distribute than in their original form. Many agricultural materials are commonly pelletized, including fertilizers and pesticides. Compound animal feed is usually milled from a feed mixture into small pellets the size of a kernel of corn so as to ensure a uniform ration for each fed animal.",environmental science
610,What is (are) perishable?,"(of an agricultural product, particularly a food) Vulnerable to natural processes of decomposition and decay within a relatively short time period after being harvested or sold to a consumer, usually a few days or weeks, gradually causing the product to spoil or rot and thereby irreversibly lose the structure, consistency, flavor, nutritional value, or other positive qualities characteristic of its fresh form which originally made it useful or valuable. In the absence of specific treatments or conditions, virtually all raw foods, whether of plant, animal, or fungal origin, eventually succumb to these processes via chemical reactions with their environment, both biotic (e.g. decomposition by microorganisms such as bacteria and fungi) and abiotic (e.g. dehydration by atmospheric evaporation), though some foods tend to decay much more quickly than others. Many methods of food processing and preservation have been developed to prevent or delay this decomposition in order to make foods usable and marketable for longer periods, ranging from storage in cold, dry, or oxygen-poor environments (all of which can greatly reduce the rate of microbial growth) to pasteurization or treatment with protective waxes or chemical preservatives. The most perishable foods are generally those for which preservation is difficult or undesirable, especially fresh produce such as fruits and vegetables, but also animal meat. Commercial foods which have been pre-cooked, canned, or extensively processed may be considered ""non-perishable"" for the purpose of calculating shelf life or expiration dates.",environmental science
611,What is (are) perlite?,"An amorphous glass mineral of volcanic origin with a relatively high water content and the unusual property of expanding to many times its original volume when heated sufficiently. Expanded perlite is commonly used as a soil amendment in horticulture, where its low density and high permeability help to improve drainage and prevent soil compaction. It is also sometimes used alone as a growth medium for starting cuttings or in hydroponics.",environmental science
612,What is (are) permaculture?,"An approach to land management that adopts arrangements observed in healthy natural ecosystems, with particular emphasis on utilizing creative design principles derived from whole systems thinking. Permaculture principles are often employed in regenerative agriculture, rewilding, and sustainable agriculture, but the concept has a wide range of applications, including in ecological engineering, water resource management, and architecture.",environmental science
613,What is (are) permanent crop?,"Any crop produced from a perennial plant which produces crops repeatedly over multiple seasons, rather than having to be replanted after each harvest.",environmental science
614,What is (are) permanent wilting point (pwp)?,Also simply wilting point (WP).,environmental science
615,What is (are) pesticide?,"Any chemical or biological agent used to deter, incapacitate, kill, sterilize, or otherwise discourage the activity or proliferation of one or more target organisms considered pests by humans, which includes herbicides used to control noxious plants, insecticides, miticides, fungicides, nematicides, antimicrobials for bacteria and viruses, and any other substance intended to control a pathogen of any kind. Pesticides are widely used in agriculture to protect crop plants or domestic animals from pathogens which may cause or transmit disease or destroy crop value, though they are also used for a huge variety of other purposes. Some are applied directly to the pest, while others are applied to the crop or animal itself, or to the air or soil around it. Pesticide use may also have drawbacks, including unintended or off-target effects such as toxicity to humans.",environmental science
616,What is (are) pharming?,"Also molecular farming, molecular pharming, and biopharming. The use of genetic engineering technologies to insert one or more genes that code for useful pharmaceuticals into a host plant or animal that would otherwise not express those genes, thereby creating a genetically modified organism. Crops modified in this way are sometimes called pharma crops.",environmental science
617,What is (are) pig?,"Also hog. A domestic swine of either sex, especially a member of the species Sus domesticus, often considered a domesticated subspecies of the wild boar, Sus scrofa.",environmental science
618,What is (are) pineapple pit?,"A method of cultivating pineapples in temperate climates, consisting of a trench dug into the ground and covered with transparent glass, with two internal walls dividing it into three troughs. Pineapples are grown in the central trough while the outer troughs are filled with fresh manure, which gives off heat as it decomposes, keeping the central trough warm and humid.",environmental science
619,What is (are) pinery?,"1.  A natural or cultivated pine forest which is harvested for timber. 2.  A plantation where pineapples are grown, or another name for a pineapple pit.",environmental science
620,What is (are) pioneer crop?,"A crop grown to improve the general fertility of a parcel of land prior to sowing another, typically more valuable crop on the same land. Farmers often permit livestock to graze the pioneer crop in the hope that their dung will add soil nutrients.",environmental science
621,What is (are) pisciculture?,"Also fish farming. A branch of aquaculture involving the raising of fish in tanks, enclosures, or hatcheries with the goal of producing any of a variety of products that can be used by humans, most commonly food.",environmental science
622,What is (are) pitchfork?,"A two-handed agricultural tool with between two and five long, thin tines and a long handle, used to efficiently pitch or toss large clumps of loose material such as hay, straw, leaves, or manure. Pitchforks are used for a wide variety of tasks such as feeding cattle and bucking hay.",environmental science
623,What is (are) plant breeding?,"The deliberate and systematic reproduction of plants in agriculture and horticulture, especially involving the artificial selection of which individual plants will breed in order to produce progeny with desirable characteristics.",environmental science
624,What is (are) plantation?,"A large-scale estate which specializes in farming cash crops, most commonly cotton, coffee, tea, cocoa, sugar cane, opium, fruit trees, rubber trees, and forest trees.",environmental science
625,What is (are) plastic mulch?,"An artificial mulch consisting of a thin film of plastic polymers, used in both crop production and landscaping for the same reasons as natural mulches, i.e. to suppress weeds, conserve water, and maintain soil integrity. Crops grow through regularly spaced holes cut in the plastic film. It is most commonly used with row crops, often in conjunction with drip irrigation.",environmental science
626,What is (are) plasticulture?,"The use of plastic materials in agricultural applications. Plastics are used for a huge variety of purposes in all types of agriculture, including as irrigation drip tape, row covers, plastic mulch, bale wrap and postharvest packaging, polytunnels, and feed troughs, among numerous others.",environmental science
627,What is (are) pleaching?,"Also plashing. The practice of interweaving the living and dead branches of a hedgerow so that they become tangled, either for the purpose of strengthening the hedge by forming a natural fence or wall which continues to thicken as it grows, or for ornamental reasons.",environmental science
628,What is (are) ploughing?,"Also plowing. The use of a plough in the cultivation of agricultural land. Ploughing is an ancient and fundamental agricultural technique, the primary purpose of which is to evenly distribute fresh nutrients, moisture, and air through the uppermost layers of the soil while also burying weeds and crop residues to decay. Modern ploughed fields are typically left to dry and then harrowed prior to planting. The use of a plough usually leaves the soil with a rough, unfinished look and parallel trenches called furrows; conventional, intensive ploughing practices may contribute to soil erosion and the formation of hardpan.",environmental science
629,What is (are) ploughshare?,"Also plowshare. The large metal blade that is the leading edge of the mouldboard of a plough, used to cut through large amounts of soil to the bottom of the furrow. Certain ploughs have a coulter immediately preceding the ploughshare.",environmental science
630,What is (are) polled?,"Born without horns, used when describing livestock of a species that is normally horned, e.g. in cattle, goats, and sheep. The term may refer to animals that have been selectively bred to be naturally hornless or, in the broadest sense, to otherwise horned animals that have had their horn buds removed after birth by disbudding.",environmental science
631,What is (are) pollen drift?,"Unintentional cross-pollination of wild plants by crop plants or vice versa, or between distinct crop varieties or cultivars, through natural mechanisms of pollen dispersal (e.g. wind or insects).",environmental science
632,What is (are) polyculture?,"The practice of growing or raising more than one species, variety, or breed at the same time and place, often in imitation of the biodiversity of natural ecosystems. Contrast monoculture.",environmental science
633,What is (are) polytunnel?,"Also polyhouse, hoophouse, grow tunnel, or high tunnel. A type of greenhouse in the form of a typically semi-circular, elongated tunnel made from a steel frame covered with transparent polyethylene; temperature, humidity, and air circulation can be adjusted by the opening and closing of doors or vents. Polytunnels are used in similar ways to glass greenhouses and row covers, e.g. for season extension or as nurseries. Though primarily designed to provide temperature increases ranging from 5 to 35 °C (9 to 63 °F) above the outdoor air temperature, they can also protect plants (and animals) against extreme weather and the drying effect of wind. Polytunnels on a farm in England",environmental science
634,What is (are) pomology?,Also fruticulture. The study of fruit and its cultivation.,environmental science
635,What is (are) ponding?,"The formation of small ponds or pools of water in agricultural fields due to surface runoff from oversaturated or poorly draining soils, or from heavy precipitation or irrigation.",environmental science
636,What is (are) pork?,The meat of hogs or pigs.,environmental science
637,What is (are) postharvest?,"1.  The stage of commercial crop production immediately following harvest, including cooling, drying, cleaning, sorting, packing, and/or any other processing and handling activities necessary for the crop to become marketable. Postharvest treatment largely determines a crop's final quality and how and whether it can be sold. 2.  Any activities that occur after agricultural products leave or are sold from the farm or ranch where they were produced.",environmental science
638,What is (are) poult?,"A young turkey, especially one too young for its sex to be determined.",environmental science
639,What is (are) poultry?,"Any domesticated birds cultivated by humans for their meat, eggs, or feathers, most commonly various species of fowl, especially chickens, turkeys, ducks, geese, and pigeons.",environmental science
640,What is (are) poundage quota?,A quantitative limit on the amount of an agricultural commodity (e.g. tobacco or peanuts) that can be produced and/or marketed under the provisions of a governmental price support program.,environmental science
641,What is (are) power take-off (pto)?,"A device, commonly found on tractors but also sometimes on farm trucks or other vehicles, that transmits electrical and/or mechanical energy from a power source (e.g. a running engine) to an attached implement or a separate machine which is either pulled behind on a trailer or mounted on the vehicle itself. Modern tractors almost always have a power take-off, which can be connected to a wide variety of equipment to supply power for virtually any automatable agricultural task, e.g. mowing, ploughing, tilling, compacting, distributing agrochemicals, harvesting, etc.",environmental science
642,What is (are) precision agriculture (pa)?,"Also satellite farming and site-specific crop management. A large-scale agricultural management strategy based on observing, measuring, and responding to inter- and intra-field variability in crops and crop yields with the goal of optimizing returns on inputs while preserving resources. Precision agriculture relies on advanced technologies such as GPS, remote sensing, satellite imagery, multispectral imagery, and agricultural drones to collect data on numerous agricultural variables and to generate datasets and maps of spatial variability which can then be used by variable-rate (and often fully automated) applications to optimally distribute resources.",environmental science
643,What is (are) prices paid index?,"An economic index used to monitor and indicate changes in the prices paid by farmers for goods and services used in crop and livestock production as well as those needed for farm family living. In addition to the prices of common farm inputs such as fertilizer, the index also includes interest on debt, taxes payable on farm real estate, and wage rates paid to hired labor. It is used to calculate the price of many fees and fines required by agricultural law, e.g. fees for grazing livestock on federal land.",environmental science
644,What is (are) prices received index?,"An economic index used to monitor and indicate changes in the prices received by farmers for their products at the point of first sale, usually the farm itself or a local market. Together with the prices paid index, it is used to calculate the parity ratio.",environmental science
645,What is (are) prilled?,"Pelletized and sold in the form of small, round, solid globules, as is common with many fertilizers, compound animal feeds, and other agrichemicals.",environmental science
646,What is (are) primary tillage?,"Any general-purpose tillage that is relatively deep and thorough and which leaves the soil surface with a rough, unfinished texture, such as ploughing, as opposed to subsequent, shallower, and more selective secondary tillage. Primary tillage is usually performed immediately after the last harvest, with the objectives of loosening, softening, and aerating the soil to a particular depth, incorporating crop residues and/or fertilizers, and killing weeds.",environmental science
647,What is (are) produce?,"A generalized term used to refer to a variety of farm-produced food crops, usually including fruits and vegetables and sometimes also grains and other products, especially implying that such foods are fresh and generally in the same state as when and where they were harvested.",environmental science
648,What is (are) program crop?,"A crop for which deficiency payments are paid by a government agency to participating producers, e.g. wheat, corn, barley, grain sorghum, oats, upland cotton, and rice. Contrast non-program crop.",environmental science
649,What is (are) puddling?,"The practice of tilling rice paddies while flooded, traditionally accomplished by dragging a weighted harrow through the submerged soil of the paddy field but also with mechanized implements.",environmental science
650,What is (are) pullet?,An immature female chicken.,environmental science
651,What is (are) pulpwood?,"Any wood used in the manufacture of paper, fiberboard, or other pulp-based products.",environmental science
652,What is (are) rafter?,To plough a field with furrows so that the earth removed from each furrow is turned over onto the adjacent unplowed ground.,environmental science
653,What is (are) rainfed field?,"An unirrigated field depending solely on natural precipitation for its water supply, generally surrounded by levees to prevent surface runoff.",environmental science
654,What is (are) ram?,An adult male sheep of breeding age.,environmental science
655,What is (are) ramification?,"The natural division of the stems, shoots, or limbs of a plant into successively smaller versions of the same structures as they grow and develop; e.g. the trunks of trees diverge into branches which themselves diverge into smaller branches and so on. Horticulturists often artificially stimulate ramification through repeated pruning, coppicing, or pollarding, which in many species, particularly trees and shrubs, induces the divergence of new branches from existing branches. This technique can increase the yield of orchards by inducing the formation of numerous fruit-bearing branches in fruit trees.",environmental science
656,What is (are) ranching?,"The practice of raising grazing livestock such as cattle, sheep, and horses on an area of land called a ranch.",environmental science
657,What is (are) rangeland?,"Also simply range. Any grassland, shrubland, woodland, wetland, or desert area that is grazed by domestic livestock or wild animals and is generally not suitable for cultivating crops. Rangelands are less intensively managed than pasture lands in that they are dominated primarily by native vegetation rather than by plants established by humans, and typically are not subjected to agricultural practices such as irrigation and the use of fertilizers.",environmental science
658,What is (are) ratooning?,"The practice of harvesting a crop plant (particularly a monocot species) by cutting most of the above-ground portion of the plant but leaving the roots and the shoot apices intact so as to allow the plant to recover and produce a fresh crop in a subsequent growing season. This procedure usually can be sustained only for a few seasons, as yield tends to decline with each season. Ratoon crops include sugarcane, pineapples, and bananas.",environmental science
659,What is (are) relay cropping?,"A type of succession planting in which a new crop is sown or planted in the same field as an existing crop shortly before harvesting the existing crop and clearing it from the field, which then leaves the land available for the newly planted crop to use. This cycle may be repeated throughout the growing season or even year-round with crops intended for various uses, including cash crops and cover crops, as long as the soil remains fertile.",environmental science
660,What is (are) residue-to-product ratio?,"A ratio of the amount of unused crop residue left in a field or polytunnel after harvesting a particular crop to the amount of useful crop products harvested (i.e. the yield), usually expressed in terms of the relative masses of residues and products and particularly useful as a metric for the efficiency of bioenergy operations which convert the residues to biochar.",environmental science
661,What is (are) riddle?,"To grade and sort produce (e.g. potatoes) according to size, using a sieve.",environmental science
662,What is (are) roaster?,"A large chicken raised for its meat and suitable for roasting, generally at least 12 weeks old and weighing at least 4 pounds (1.8 kilograms). Compare broiler.",environmental science
663,What is (are) roguing?,"The practice of identifying and removing plants with undesirable characteristics (e.g. plants that are diseased or of an unwanted shape, color, or variety) from agricultural fields, often by hand. The plants, known as rogues, are removed to preserve the quality of the desirable crop plants, often by way of preventing undesirable characteristics from propagating into subsequent generations.",environmental science
664,What is (are) rooster?,An adult male chicken.,environmental science
665,What is (are) root crop?,"Also rootcrop. Any crop plant whose edible or usable portion is harvested from under the ground, e.g. beets, carrots, onions, potatoes, and turnips. These parts may or may not include the plant's actual roots.",environmental science
666,What is (are) root pruning?,"The mechanical severing or trimming of plant roots, either intentionally or unintentionally, often by the passage of an agricultural implement through soil. When deliberate, it is often done so as to make a plant easier to transplant or to slow its growth.",environmental science
667,What is (are) root zone?,"Also rooting depth or rhizosphere. The layers of soil or other substrate penetrated by a plant's roots and from which the roots uptake water and nutrients, i.e. the subterranean space that directly influences and is influenced by root growth and activity, encompassing the entire network of vascular roots, rhizomes, tubers, and all other below-ground plant parts extending vertically and laterally beneath the surface, and by some definitions including aerial roots as well. Providing this space with consistent access to water, oxygen, and mineral nutrients is essential for normal plant growth.",environmental science
668,What is (are) rotation crop?,A crop that is rotated with other crops as part of a crop rotation sequence.,environmental science
669,What is (are) roughage?,"Any animal feedstuff with high fiber content, such as hay or straw.",environmental science
670,What is (are) row cover?,"Any flexible, transparent or semi-transparent material, such as fabric or plastic sheeting, that is used as a protective covering to shield plants from extreme temperatures and wind, as well as from insect damage and large herbivores. Row cover can also provide a limited amount of warming in the same way as greenhouses, by creating a microclimate for the covered plants.",environmental science
671,What is (are) scalping?,"A method of wildland range renovation in which existing vegetation is turned over in a series of long strips, effectively clearing the land in order to improve water infiltration, hasten the decay of organic matter, and reduce competition for nutrients in the soil, which can help plant species usable by grazing animals to colonize and spread across the range.",environmental science
672,What is (are) scion?,"An aerial or above-ground plant structure, e.g. a stem or branchlet, that is grafted onto the rootstock of another plant.",environmental science
673,What is (are) scythe?,"A handheld agricultural tool designed with one or more curved blades, sharp on the inside edge, used for mowing grass or harvesting crops, especially reaping grain crops prior to threshing. The action of the scythe has largely been automated in modern agricultural machinery such as reapers and combine harvesters. The scythe is similar to a sickle, but has a longer handle intended to be used with two hands instead of one.",environmental science
674,What is (are) season extension?,"Any method that allows a crop to be grown and/or harvested beyond its natural outdoor growing season or harvest season. Season extension practices most commonly aim to overcome low temperatures or inadequate sunlight in climates where cold weather and shorter days limit the growing season in the spring and fall, but can also include techniques designed to address other seasonally varying conditions such as precipitation and consumer demand, or simply to keep mature crops alive until immediately before the harvest (as opposed to applying postharvest food preservation technologies to prevent spoilage during storage).",environmental science
675,What is (are) second?,To hoe between rows of rootcrops that have previously been thinned out.,environmental science
676,What is (are) sericulture?,The cultivation of silkworms with the goal of producing silk.,environmental science
677,What is (are) set?,"In orchardry, the total amount of blossoms or fruits growing on one or more cultivated trees at a particular time, or the total amount produced by or harvested from one or more trees during a growing season or production cycle; an approximate quantification of a tree or orchard's total productivity.",environmental science
678,What is (are) setting?,(of a brooding hen) In the process of incubating eggs.,environmental science
679,What is (are) shade house?,"Any structure with a roof or covering that partially obstructs light from reaching the space beneath it (e.g. a mesh fabric or wood slats), providing partial shade to plants or animals living inside. Shade houses are commonly used in horticulture to provide optimal conditions for the growth of shade-loving plants, attenuating direct sunlight and keeping temperatures cool while still permitting air circulation and enough light for photosynthesis to occur.",environmental science
680,What is (are) sharecropping?,A type of agriculture in which a landowner allows a tenant to cultivate a portion of his or her land in return for a share of the crops produced on that land.,environmental science
681,What is (are) sheaf?,"A bundle of cut stems from a cereal crop (especially wheat) which have been bound together after reaping, traditionally by sickle or scythe but on some modern farms by machines such as a reaper-binder. Multiple sheaves are then ""shocked"" or arranged into conical stooks to allow the grain to dry before threshing.",environmental science
682,What is (are) shearing?,The process by which the woollen fleece of a sheep or other wool-bearing mammal is cut or shaved from its body. Adult sheep are typically shorn once each year.,environmental science
683,What is (are) shearing shed?,"Also woolshed. A building or facility which accommodates large-scale shearing of wool-bearing animals such as sheep, and sometimes also related activities such as classing, pressing, and storing the wool.",environmental science
684,What is (are) shearling?,"1.  A yearling or one-year-old sheep. 2.  The skin from a recently shorn sheep or lamb that has been tanned or dressed with the wool left on, having a suede surface on one side and clipped fur on the other.",environmental science
685,What is (are) sheep dip?,"A plunge dip designed specifically for sheep, containing a liquid pesticide formulation in which the sheep are briefly bathed or immersed in order to kill or remove ectoparasites living on their skin or in their wool.",environmental science
686,What is (are) shifting cultivation?,"A type of agriculture in which specific plots of land are cleared and cultivated temporarily, often by slash-and-burn methods and for just a few growing seasons, then abandoned and allowed to lie fallow, reverting to their natural vegetation over many more seasons, while the cultivator migrates to a new plot.",environmental science
687,What is (are) shoat?,"A young domestic pig of either sex, usually from the age of weaning up to five months old and weighing 50 to 160 pounds (23 to 73 kg).",environmental science
688,What is (are) sickle?,"A handheld agricultural tool designed with one or more curved blades, sharp on the inside edge, and typically used for reaping grain crops or cutting succulent forage for feeding livestock. The sickle is similar to a scythe, but used with one hand instead of two.",environmental science
689,What is (are) sickle feather?,"Either of a pair of long, curved feathers in the tail feathers of a rooster.",environmental science
690,What is (are) silage?,"A type of animal fodder made from the green foliage of crop plants preserved by a process of fermentation and storage called ensilage, ensiling, or silaging, which typically involves piling and compressing large amounts of cut green vegetation in an oxygen-poor environment, such as a pit or silo or a bale wrapped tightly with plastic film. Silage is usually made from maize, sorghum, or other cereals, using the entire green plant (not just the grain). Plastic-wrapped silage bales in a field",environmental science
691,What is (are) silo?,"Any structure designed for storing bulk materials. In agriculture, tower silos are commonly used to store fermented grain known as silage.",environmental science
692,What is (are) silviculture?,"The practice of managing or directly controlling the establishment, growth, composition, and quality of natural or deliberately planted forests for any of a number of reasons, especially timber production but also for the cultivation of other forest crops.",environmental science
693,What is (are) sire?,"The male parent of an animal. The term is used alongside dam, especially for domestic mammals such as cattle and horses.",environmental science
